DEBUG:root:This message should go to the log file
INFO:root:So should this
WARNING:root:And this, too
2017-03-17 18:26:31,041 - INFO - run_family.py - family_evol - End of the PDB TRX2_YEAST_2_103_2FA4_B_superimposed.pdb.gz 
2017-03-17 18:26:31,042 - INFO - run_family.py - family_evol - Begin of the PDB Q8T9N5_SCHMA_5_106_2XBQ_B_superimposed.pdb.gz 
2017-03-17 18:33:35,902 - INFO - run_family.py - family_evol - End of the PDB Q8T9N5_SCHMA_5_106_2XBQ_B_superimposed.pdb.gz 
2017-03-17 18:33:35,902 - INFO - run_family.py - family_evol - Begin of the PDB PDIA6_HUMAN_26_129_4EF0_A_superimposed.pdb.gz 
2017-03-17 18:40:29,064 - INFO - run_family.py - family_evol - End of the PDB PDIA6_HUMAN_26_129_4EF0_A_superimposed.pdb.gz 
2017-03-17 18:40:29,065 - INFO - run_family.py - family_evol - Begin of the PDB TXND5_HUMAN_323_427_3UVT_A_superimposed.pdb.gz 
2017-03-17 18:47:06,612 - INFO - run_family.py - family_evol - End of the PDB TXND5_HUMAN_323_427_3UVT_A_superimposed.pdb.gz 
2017-03-17 18:47:06,613 - INFO - run_family.py - family_evol - Begin of the PDB TRX3_YEAST_27_127_2OE0_B_superimposed.pdb.gz 
2017-03-17 18:53:00,009 - INFO - run_family.py - family_evol - End of the PDB TRX3_YEAST_27_127_2OE0_B_superimposed.pdb.gz 
2017-03-17 18:53:00,010 - INFO - run_family.py - family_evol - Begin of the PDB THIO2_DROME_11_113_1XWB_D_superimposed.pdb.gz 
2017-03-17 18:59:08,735 - INFO - run_family.py - family_evol - End of the PDB THIO2_DROME_11_113_1XWB_D_superimposed.pdb.gz 
2017-03-17 18:59:08,736 - INFO - run_family.py - family_evol - Begin of the PDB TXND5_HUMAN_63_167_3WGD_E_superimposed.pdb.gz 
2017-03-17 19:05:30,576 - INFO - run_family.py - family_evol - End of the PDB TXND5_HUMAN_63_167_3WGD_E_superimposed.pdb.gz 
2017-03-17 19:05:30,577 - INFO - run_family.py - family_evol - Begin of the PDB THIOM_HUMAN_61_164_1UVZ_E_superimposed.pdb.gz 
2017-03-17 19:11:43,034 - INFO - run_family.py - family_evol - End of the PDB THIOM_HUMAN_61_164_1UVZ_E_superimposed.pdb.gz 
2017-03-17 19:11:43,035 - INFO - run_family.py - family_evol - Begin of the PDB THIO_ECOLI_4_107_1SKR_B_superimposed.pdb.gz 
2017-03-17 19:17:46,613 - INFO - run_family.py - family_evol - End of the PDB THIO_ECOLI_4_107_1SKR_B_superimposed.pdb.gz 
2017-03-17 19:17:46,614 - INFO - run_family.py - family_evol - Begin of the PDB THIO2_DROME_11_113_1XW9_C_superimposed.pdb.gz 
2017-03-17 19:24:11,167 - INFO - run_family.py - family_evol - End of the PDB THIO2_DROME_11_113_1XW9_C_superimposed.pdb.gz 
2017-03-17 19:24:11,167 - INFO - run_family.py - family_evol - Begin of the PDB THIO_HUMAN_2_104_1AUC_A_superimposed.pdb.gz 
2017-03-17 19:30:13,672 - INFO - run_family.py - family_evol - End of the PDB THIO_HUMAN_2_104_1AUC_A_superimposed.pdb.gz 
2017-03-17 19:30:13,672 - INFO - run_family.py - family_evol - Begin of the PDB DJC10_MOUSE_130_232_3APQ_B_superimposed.pdb.gz 
2017-03-17 19:37:06,514 - INFO - run_family.py - family_evol - End of the PDB DJC10_MOUSE_130_232_3APQ_B_superimposed.pdb.gz 
2017-03-17 19:37:06,514 - INFO - run_family.py - family_evol - Begin of the PDB THIOM_HUMAN_61_164_1W4V_D_superimposed.pdb.gz 
2017-03-17 19:43:17,346 - INFO - run_family.py - family_evol - End of the PDB THIOM_HUMAN_61_164_1W4V_D_superimposed.pdb.gz 
2017-03-17 19:43:17,346 - INFO - run_family.py - family_evol - Begin of the PDB THIO_ECOLI_4_107_2TRX_A_superimposed.pdb.gz 
2017-03-17 19:49:31,747 - INFO - run_family.py - family_evol - End of the PDB THIO_ECOLI_4_107_2TRX_A_superimposed.pdb.gz 
2017-03-17 19:49:31,747 - INFO - run_family.py - family_evol - Begin of the PDB GLRX3_HUMAN_14_115_2WZ9_A_superimposed.pdb.gz 
2017-03-17 19:56:25,931 - INFO - run_family.py - family_evol - End of the PDB GLRX3_HUMAN_14_115_2WZ9_A_superimposed.pdb.gz 
2017-03-17 19:56:25,931 - INFO - run_family.py - family_evol - Begin of the PDB B1MMM4_MYCA9_5_107_4POB_A_superimposed.pdb.gz 
2017-03-17 20:02:29,673 - INFO - run_family.py - family_evol - End of the PDB B1MMM4_MYCA9_5_107_4POB_A_superimposed.pdb.gz 
2017-03-17 20:02:29,674 - INFO - run_family.py - family_evol - Begin of the PDB B1MMM4_MYCA9_5_107_4POB_B_superimposed.pdb.gz 
2017-03-17 20:08:52,003 - INFO - run_family.py - family_evol - End of the PDB B1MMM4_MYCA9_5_107_4POB_B_superimposed.pdb.gz 
2017-03-17 20:08:52,004 - INFO - run_family.py - family_evol - Begin of the PDB PDIA4_HUMAN_178_282_3IDV_A_superimposed.pdb.gz 
2017-03-17 20:15:33,031 - INFO - run_family.py - family_evol - End of the PDB PDIA4_HUMAN_178_282_3IDV_A_superimposed.pdb.gz 
2017-03-17 20:15:33,032 - INFO - run_family.py - family_evol - Begin of the PDB Q4DV70_TRYCC_42_151_3H79_A_superimposed.pdb.gz 
2017-03-17 20:22:13,776 - INFO - run_family.py - family_evol - End of the PDB Q4DV70_TRYCC_42_151_3H79_A_superimposed.pdb.gz 
2017-03-17 20:22:13,777 - INFO - run_family.py - family_evol - Begin of the PDB TXND5_HUMAN_323_427_3UVT_C_superimposed.pdb.gz 
2017-03-17 20:28:55,180 - INFO - run_family.py - family_evol - End of the PDB TXND5_HUMAN_323_427_3UVT_C_superimposed.pdb.gz 
2017-03-17 20:28:55,181 - INFO - run_family.py - family_evol - Begin of the PDB TXND5_HUMAN_323_427_3UVT_D_superimposed.pdb.gz 
2017-03-17 20:35:38,362 - INFO - run_family.py - family_evol - End of the PDB TXND5_HUMAN_323_427_3UVT_D_superimposed.pdb.gz 
2017-03-17 20:35:38,363 - INFO - run_family.py - family_evol - Begin of the PDB G0W5T0_NAUDC_35_141_4TVE_A_superimposed.pdb.gz 
2017-03-17 20:42:05,563 - INFO - run_family.py - family_evol - End of the PDB G0W5T0_NAUDC_35_141_4TVE_A_superimposed.pdb.gz 
2017-03-17 20:42:05,563 - INFO - run_family.py - family_evol - Begin of the PDB Q2G000_STAA8_2_104_4RUV_A_superimposed.pdb.gz 
2017-03-17 20:48:26,156 - INFO - run_family.py - family_evol - End of the PDB Q2G000_STAA8_2_104_4RUV_A_superimposed.pdb.gz 
2017-03-17 20:48:26,157 - INFO - run_family.py - family_evol - Begin of the PDB THIO1_STRCO_4_106_1T00_A_superimposed.pdb.gz 
2017-03-17 20:54:44,341 - INFO - run_family.py - family_evol - End of the PDB THIO1_STRCO_4_106_1T00_A_superimposed.pdb.gz 
2017-03-17 20:54:44,342 - INFO - run_family.py - family_evol - Begin of the PDB THIO_ECOLI_4_107_2BTO_T_superimposed.pdb.gz 
2017-03-17 21:00:46,600 - INFO - run_family.py - family_evol - End of the PDB THIO_ECOLI_4_107_2BTO_T_superimposed.pdb.gz 
2017-03-17 21:00:46,601 - INFO - run_family.py - family_evol - Begin of the PDB THIO_ECOLI_4_107_2AJQ_I_superimposed.pdb.gz 
2017-03-17 21:07:28,610 - INFO - run_family.py - family_evol - End of the PDB THIO_ECOLI_4_107_2AJQ_I_superimposed.pdb.gz 
2017-03-17 21:07:28,610 - INFO - run_family.py - family_evol - Begin of the PDB THIO_ECOLI_4_107_2AJQ_B_superimposed.pdb.gz 
2017-03-17 21:13:52,185 - INFO - run_family.py - family_evol - End of the PDB THIO_ECOLI_4_107_2AJQ_B_superimposed.pdb.gz 
2017-03-17 21:13:52,185 - INFO - run_family.py - family_evol - Begin of the PDB THIO_ECOLI_4_107_1THO_A_superimposed.pdb.gz 
2017-03-17 21:19:45,528 - INFO - run_family.py - family_evol - End of the PDB THIO_ECOLI_4_107_1THO_A_superimposed.pdb.gz 
2017-03-17 21:19:45,529 - INFO - run_family.py - family_evol - Begin of the PDB TRX1_YEAST_2_102_3F3Q_A_superimposed.pdb.gz 
2017-03-17 21:25:38,757 - INFO - run_family.py - family_evol - End of the PDB TRX1_YEAST_2_102_3F3Q_A_superimposed.pdb.gz 
2017-03-17 21:25:38,758 - INFO - run_family.py - family_evol - Begin of the PDB PDIA1_HUMAN_25_132_4EKZ_A_superimposed.pdb.gz 
2017-03-17 21:32:31,150 - INFO - run_family.py - family_evol - End of the PDB PDIA1_HUMAN_25_132_4EKZ_A_superimposed.pdb.gz 
2017-03-17 21:32:31,151 - INFO - run_family.py - family_evol - Begin of the PDB Q97WI4_SULSO_32_133_3HHV_A_superimposed.pdb.gz 
2017-03-17 21:39:02,396 - INFO - run_family.py - family_evol - End of the PDB Q97WI4_SULSO_32_133_3HHV_A_superimposed.pdb.gz 
2017-03-17 21:39:02,398 - INFO - run_family.py - family_evol - Begin of the PDB PDIA6_HUMAN_161_267_4GWR_A_superimposed.pdb.gz 
2017-03-17 21:45:48,463 - INFO - run_family.py - family_evol - End of the PDB PDIA6_HUMAN_161_267_4GWR_A_superimposed.pdb.gz 
2017-03-17 21:45:48,463 - INFO - run_family.py - family_evol - Begin of the PDB YBBN_ECOLI_5_109_3QOU_A_superimposed.pdb.gz 
2017-03-17 21:52:27,627 - INFO - run_family.py - family_evol - End of the PDB YBBN_ECOLI_5_109_3QOU_A_superimposed.pdb.gz 
2017-03-17 21:52:27,628 - INFO - run_family.py - family_evol - Begin of the PDB Q8IDP4_PLAF7_55_156_3UL3_B_superimposed.pdb.gz 
2017-03-17 21:58:50,956 - INFO - run_family.py - family_evol - End of the PDB Q8IDP4_PLAF7_55_156_3UL3_B_superimposed.pdb.gz 
2017-03-17 21:58:50,957 - INFO - run_family.py - family_evol - Begin of the PDB Q8IDP4_PLAF7_55_156_3UL3_A_superimposed.pdb.gz 
2017-03-17 22:05:09,271 - INFO - run_family.py - family_evol - End of the PDB Q8IDP4_PLAF7_55_156_3UL3_A_superimposed.pdb.gz 
2017-03-17 22:05:09,271 - INFO - run_family.py - family_evol - Begin of the PDB Q8ZR92_SALTY_5_109_3QDN_A_superimposed.pdb.gz 
2017-03-17 22:11:31,826 - INFO - run_family.py - family_evol - End of the PDB Q8ZR92_SALTY_5_109_3QDN_A_superimposed.pdb.gz 
2017-03-17 22:11:31,827 - INFO - run_family.py - family_evol - Begin of the PDB PDI_YEAST_377_483_2B5E_A_superimposed.pdb.gz 
2017-03-17 22:18:45,714 - INFO - run_family.py - family_evol - End of the PDB PDI_YEAST_377_483_2B5E_A_superimposed.pdb.gz 
2017-03-17 22:18:45,715 - INFO - run_family.py - family_evol - Begin of the PDB Q8T9N5_SCHMA_5_106_2XBI_A_superimposed.pdb.gz 
2017-03-17 22:25:09,122 - INFO - run_family.py - family_evol - End of the PDB Q8T9N5_SCHMA_5_106_2XBI_A_superimposed.pdb.gz 
2017-03-17 22:25:09,122 - INFO - run_family.py - family_evol - Begin of the PDB TRX3_YEAST_27_127_2OE3_A_superimposed.pdb.gz 
2017-03-17 22:31:21,428 - INFO - run_family.py - family_evol - End of the PDB TRX3_YEAST_27_127_2OE3_A_superimposed.pdb.gz 
2017-03-17 22:31:21,429 - INFO - run_family.py - family_evol - Begin of the PDB TRX3_YEAST_27_127_2OE3_B_superimposed.pdb.gz 
2017-03-17 22:37:34,246 - INFO - run_family.py - family_evol - End of the PDB TRX3_YEAST_27_127_2OE3_B_superimposed.pdb.gz 
2017-03-17 22:37:34,246 - INFO - run_family.py - family_evol - Begin of the PDB THIO2_DROME_11_113_1XWC_A_superimposed.pdb.gz 
2017-03-17 22:43:52,234 - INFO - run_family.py - family_evol - End of the PDB THIO2_DROME_11_113_1XWC_A_superimposed.pdb.gz 
2017-03-17 22:43:52,234 - INFO - run_family.py - family_evol - Begin of the PDB THIO2_DROME_11_113_1XWA_A_superimposed.pdb.gz 
2017-03-17 22:50:01,697 - INFO - run_family.py - family_evol - End of the PDB THIO2_DROME_11_113_1XWA_A_superimposed.pdb.gz 
2017-03-17 22:50:01,698 - INFO - run_family.py - family_evol - Begin of the PDB THIO2_DROME_11_113_1XWB_B_superimposed.pdb.gz 
2017-03-17 22:56:20,973 - INFO - run_family.py - family_evol - End of the PDB THIO2_DROME_11_113_1XWB_B_superimposed.pdb.gz 
2017-03-17 22:56:20,974 - INFO - run_family.py - family_evol - Begin of the PDB THIO_MYCTU_8_111_2I1U_A_superimposed.pdb.gz 
2017-03-17 23:02:20,808 - INFO - run_family.py - family_evol - End of the PDB THIO_MYCTU_8_111_2I1U_A_superimposed.pdb.gz 
2017-03-17 23:02:20,808 - INFO - run_family.py - family_evol - Begin of the PDB PDI_YEAST_33_138_2B5E_A_superimposed.pdb.gz 
2017-03-17 23:09:15,410 - INFO - run_family.py - family_evol - End of the PDB PDI_YEAST_33_138_2B5E_A_superimposed.pdb.gz 
2017-03-17 23:09:15,411 - INFO - run_family.py - family_evol - Begin of the PDB TXND5_HUMAN_190_293_3WGE_A_superimposed.pdb.gz 
2017-03-17 23:15:31,571 - INFO - run_family.py - family_evol - End of the PDB TXND5_HUMAN_190_293_3WGE_A_superimposed.pdb.gz 
2017-03-17 23:15:31,571 - INFO - run_family.py - family_evol - Begin of the PDB PDIA4_HUMAN_63_167_3IDV_A_superimposed.pdb.gz 
2017-03-17 23:22:02,332 - INFO - run_family.py - family_evol - End of the PDB PDIA4_HUMAN_63_167_3IDV_A_superimposed.pdb.gz 
2017-03-17 23:22:02,333 - INFO - run_family.py - family_evol - Begin of the PDB Q980E5_SULSO_29_131_3TCO_A_superimposed.pdb.gz 
2017-03-17 23:28:19,875 - INFO - run_family.py - family_evol - End of the PDB Q980E5_SULSO_29_131_3TCO_A_superimposed.pdb.gz 
2017-03-17 23:28:19,875 - INFO - run_family.py - family_evol - Begin of the PDB Q980E5_SULSO_29_131_3TCO_B_superimposed.pdb.gz 
2017-03-17 23:35:09,558 - INFO - run_family.py - family_evol - End of the PDB Q980E5_SULSO_29_131_3TCO_B_superimposed.pdb.gz 
2017-03-17 23:35:09,558 - INFO - run_family.py - family_evol - Begin of the PDB Q980E5_SULSO_29_131_3TCO_C_superimposed.pdb.gz 
2017-03-17 23:41:47,083 - INFO - run_family.py - family_evol - End of the PDB Q980E5_SULSO_29_131_3TCO_C_superimposed.pdb.gz 
2017-03-17 23:41:47,084 - INFO - run_family.py - family_evol - Begin of the PDB PDIA1_HUMAN_368_473_4EKZ_A_superimposed.pdb.gz 
2017-03-17 23:48:40,361 - INFO - run_family.py - family_evol - End of the PDB PDIA1_HUMAN_368_473_4EKZ_A_superimposed.pdb.gz 
2017-03-17 23:48:40,362 - INFO - run_family.py - family_evol - Begin of the PDB PDIA1_HUMAN_368_473_3UEM_A_superimposed.pdb.gz 
2017-03-17 23:55:40,023 - INFO - run_family.py - family_evol - End of the PDB PDIA1_HUMAN_368_473_3UEM_A_superimposed.pdb.gz 
2017-03-17 23:55:40,023 - INFO - run_family.py - family_evol - Begin of the PDB THIO_HUMAN_2_104_5DQY_A_superimposed.pdb.gz 
2017-03-18 00:01:49,390 - INFO - run_family.py - family_evol - End of the PDB THIO_HUMAN_2_104_5DQY_A_superimposed.pdb.gz 
2017-03-18 00:01:49,390 - INFO - run_family.py - family_evol - Begin of the PDB THIO2_NOSS1_4_107_1THX_A_superimposed.pdb.gz 
2017-03-18 00:08:02,463 - INFO - run_family.py - family_evol - End of the PDB THIO2_NOSS1_4_107_1THX_A_superimposed.pdb.gz 
2017-03-18 00:08:02,464 - INFO - run_family.py - family_evol - Begin of the PDB Q8IEV4_TRIVA_6_111_2F51_B_superimposed.pdb.gz 
2017-03-18 00:14:26,643 - INFO - run_family.py - family_evol - End of the PDB Q8IEV4_TRIVA_6_111_2F51_B_superimposed.pdb.gz 
2017-03-18 00:14:26,643 - INFO - run_family.py - family_evol - Begin of the PDB Q8IEV4_TRIVA_6_111_2F51_A_superimposed.pdb.gz 
2017-03-18 00:20:56,725 - INFO - run_family.py - family_evol - End of the PDB Q8IEV4_TRIVA_6_111_2F51_A_superimposed.pdb.gz 
2017-03-18 00:20:56,726 - INFO - run_family.py - family_evol - End family Evol  PF00085 
2017-03-18 00:20:56,726 - INFO - run_family.py - family_evol - --- 26375.4423559 seconds --- 
2017-03-18 00:20:56,726 - INFO - run_family.py - run_families_evol - End of the execution process 
2017-03-18 00:20:56,726 - INFO - run_family.py - run_families_evol - Time of Execution --- 26375.442508 seconds --- 
2017-04-03 15:14:09,293 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:16:09,315 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:21:17,915 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:26:02,458 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:28:48,738 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:56:02,602 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:57:28,716 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:58:28,719 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 15:59:14,833 - INFO - run_family.py - run_families_evol - End of the execution process 
2017-04-03 15:59:14,834 - INFO - run_family.py - run_families_evol - Time of Execution --- 46.1150228977 seconds --- 
2017-04-03 17:20:52,987 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 17:21:48,020 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 17:23:47,579 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 17:32:49,350 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 17:37:41,946 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 17:43:21,500 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 17:45:51,822 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 17:47:58,636 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 18:12:03,862 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 18:15:08,569 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 18:16:16,218 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-03 18:17:44,816 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:08:42,841 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:10:11,751 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:13:17,786 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:14:42,702 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:15:33,656 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:18:03,183 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:19:32,070 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:21:39,680 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:22:59,124 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:25:45,208 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:26:33,491 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:27:15,314 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:30:43,564 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:31:50,453 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:33:47,464 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:34:40,238 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:36:18,587 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:36:21,928 - INFO - run_family.py - run_families_evol - End of the execution process 
2017-04-10 15:36:21,928 - INFO - run_family.py - run_families_evol - Time of Execution --- 3.34091997147 seconds --- 
2017-04-10 15:36:40,094 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:38:23,407 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:42:04,429 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:42:54,775 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:43:31,915 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:44:41,376 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:46:27,881 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:49:50,362 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:51:56,764 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:52:59,518 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:55:07,063 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:57:10,576 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 15:59:35,731 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:00:27,036 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:04:40,843 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:08:49,647 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:09:13,664 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:13:59,572 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:17:23,205 - INFO - run_family.py - run_families_evol - End of the execution process 
2017-04-10 16:17:23,205 - INFO - run_family.py - run_families_evol - Time of Execution --- 203.632575989 seconds --- 
2017-04-10 16:44:01,912 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:49:29,359 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:50:42,980 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:51:58,627 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:56:24,439 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:57:04,927 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:58:38,382 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:58:39,381 - INFO - run_family.py - run_families_evol - PF00085 
2017-04-10 16:59:11,097 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 16:59:12,704 - INFO - run_family.py - run_families_evol - PF00085 
2017-04-10 16:59:18,902 - INFO - util.py - find_pdb_to_evolve - Cantidad Total Proteinas/PDB: 145 
2017-04-10 17:00:40,220 - INFO - run_family.py - run_families_evol - Begin of the execution process 
2017-04-10 17:00:41,223 - INFO - run_family.py - run_families_evol - PF00085 
2017-04-10 17:00:52,436 - INFO - util.py - find_pdb_to_evolve - Cantidad Total Proteinas/PDB: 145 
